Time,Zeros,Prices
0.003968254,0.01110682,0.999955926
0.347945205,0.015110682,0.994756108
0.436446658,0.016120621,0.992988902
0.524948111,0.017109844,0.991058435
0.613449564,0.018078586,0.98897097
0.701951017,0.01902708,0.986732718
0.790452469,0.019955561,0.984349834
0.878953922,0.020864262,0.981828406
0.967455375,0.021753418,0.979174449
1.055956828,0.022623263,0.976393899
1.144458281,0.02347403,0.973492607
1.232959734,0.024305955,0.970476333
1.321461187,0.02511927,0.96735074
1.40996264,0.02591421,0.964121391
1.498464093,0.026691009,0.960793744
1.586965545,0.027449902,0.957373149
1.675466998,0.028191121,0.953864841
1.763968451,0.028914902,0.950273943
1.852469904,0.029621478,0.946605457
1.940971357,0.030311084,0.942864266
2.02947281,0.030983953,0.939055131
2.117974263,0.031640319,0.935182687
2.206475716,0.032280417,0.931251446
2.294977169,0.03290448,0.927265792
2.383478621,0.033512744,0.923229981
2.471980074,0.034105441,0.919148143
2.560481527,0.034682805,0.915024276
2.64898298,0.035245072,0.910862254
2.737484433,0.035792475,0.90666582
2.825985886,0.036325247,0.902438589
2.914487339,0.036843624,0.898184051
3.002988792,0.037347839,0.893905565
3.091490245,0.037838126,0.889606369
3.179991697,0.038314719,0.885289571
3.26849315,0.038777853,0.88095816
3.356994603,0.039227761,0.876614999
3.445496056,0.039664677,0.872262832
3.533997509,0.040088836,0.867904281
3.622498962,0.040500471,0.863541852
3.711000415,0.040899817,0.859177932
3.799501868,0.041287108,0.854814797
3.888003321,0.041662578,0.850454607
3.976504773,0.04202646,0.84609941
4.065006226,0.04237899,0.841751148
4.153507679,0.0427204,0.837411654
4.242009132,0.043050925,0.833082653
4.330510585,0.0433708,0.828765772
4.419012038,0.043680257,0.824462531
4.507513491,0.043979532,0.820174355
4.596014944,0.044268858,0.815902568
4.684516397,0.044548469,0.811648402
4.773017849,0.0448186,0.807412993
4.861519302,0.045079484,0.803197387
4.950020755,0.045331356,0.79900254
5.038522208,0.04557445,0.794829322
5.127023661,0.045808999,0.790678517
5.215525114,0.046035237,0.786550825
5.304026567,0.0462534,0.782446865
5.39252802,0.04646372,0.778367179
5.481029473,0.046666433,0.774312226
5.569530925,0.046861771,0.770282396
5.658032378,0.047049969,0.766278
5.746533831,0.047231262,0.76229928
5.835035284,0.047405883,0.758346406
5.923536737,0.047574065,0.754419481
6.01203819,0.047736045,0.750518541
6.100539643,0.047892054,0.746643556
6.189041096,0.048042328,0.742794434
6.277542549,0.048187101,0.738971019
6.366044001,0.048326606,0.735173099
6.454545454,0.048461077,0.7314004
6.543046907,0.04859075,0.727652591
6.63154836,0.048715857,0.723929288
6.720049813,0.048836633,0.72023005
6.808551266,0.048953311,0.716554386
6.897052719,0.049066127,0.712901751
6.985554172,0.049175314,0.709271552
7.074055625,0.049281106,0.705663149
